country_txt,gname
Dominican Republic,MANO-D
Mexico,23rd of September Communist League
Philippines,Unknown
Greece,Unknown
Japan,Unknown
United States,Black Nationalists
Uruguay,Tupamaros (Uruguay)
United States,Unknown
United States,New Year's Gang
United States,New Year's Gang
United States,"Weather Underground, Weathermen"
United States,Left-Wing Militants
Italy,Unknown
United States,Left-Wing Militants
United States,Armed Commandos of Liberation
East Germany (GDR),Commune 1
Ethiopia,Eritrean Liberation Front
United States,Black Nationalists
United States,Strikers
United States,Black Nationalists
United States,Black Nationalists
Uruguay,Tupamaros (Uruguay)
United States,Black Nationalists
United States,Student Radicals
United States,White Extremists
Guatemala,Unknown
Philippines,Unknown
Venezuela,Armed Forces of National Liberation- Venezuela (FALN)
United States,Strikers
United States,White Extremists
United States,Black Nationalists
United States,Black Nationalists
United States,Black Nationalists
United States,Left-Wing Militants
East Germany (GDR),Unknown
United States,White Extremists
United States,Strikers
United States,Strikers
United States,Student Radicals
Philippines,New People's Army (NPA)
United States,Unknown
United States,Left-Wing Militants
United States,Black Nationalists
United States,Unknown
United States,Unknown
United States,Unknown
United States,Strikers
United States,Black Nationalists
United States,White Extremists
United States,White Extremists
United States,Armed Revolutionary Independence Movement (MIRA)
United States,Armed Revolutionary Independence Movement (MIRA)
United States,Armed Revolutionary Independence Movement (MIRA)
United States,Student Radicals
United States,Student Radicals
United States,Armed Revolutionary Independence Movement (MIRA)
United States,Armed Revolutionary Independence Movement (MIRA)
United States,Armed Revolutionary Independence Movement (MIRA)
United States,Strikers
West Germany (FRG),Popular Front for the Liberation of Palestine (PFLP)
United States,Student Radicals
United States,Unknown
West Germany (FRG),Popular Front for the Liberation of Palestine (PFLP)
United States,Black Nationalists
United States,Left-Wing Militants
United States,Student Radicals
United States,Unknown
United States,Unknown
United States,Unknown
United States,Left-Wing Militants
United States,Unknown
United States,Unknown
United States,White Extremists
United States,Student Radicals
United States,Black Nationalists
United States,Black Nationalists
United States,Left-Wing Militants
United States,Student Radicals
United States,Student Radicals
West Germany (FRG),"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)"
Switzerland,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)"
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,"Weather Underground, Weathermen"
United States,Black Nationalists
United States,White Extremists
United States,New Year's Gang
United States,Strikers
United States,Strikers
United States,Strikers
United States,Strikers
United States,Left-Wing Militants
United States,White Extremists
United States,Student Radicals
United States,Student Radicals
Jordan,Unknown
Philippines,Unknown
Italy,Eritrean Liberation Front
United States,Student Radicals
United States,Left-Wing Militants
United States,Student Radicals
United States,Left-Wing Militants
United States,Black Nationalists
Spain,1st of May Group
United States,Left-Wing Militants
United States,Student Radicals
United States,Left-Wing Militants
United States,Unknown
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Armed Commandos of Liberation
Guatemala,Rebel Armed Forces of Guatemala (FAR)
United States,"Weather Underground, Weathermen"
United States,"Weather Underground, Weathermen"
United States,Unknown
United States,Ku Klux Klan
United States,White Extremists
United States,White Extremists
United States,Black Nationalists
West Germany (FRG),Unknown
United States,Left-Wing Militants
United States,Student Radicals
Brazil,Popular Revolutionary Vanguard (VPR)
United States,Student Radicals
United States,Revolutionary Force 9
United States,Revolutionary Force 9
United States,Black Nationalists
United States,Black Nationalists
United States,Revolutionary Force 9
United States,Student Radicals
United States,Student Radicals
Ethiopia,Eritrean Liberation Front
Egypt,Unknown
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Puerto Rican Nationalists
United States,Unknown
United States,White Extremists
United States,Chicano Liberation Front
United States,Unknown
United States,White Extremists
United States,White Extremists
United States,Left-Wing Militants
United States,Puerto Rican Resistance Movement
United States,Puerto Rican Resistance Movement
United States,Black Panthers
United States,Black Panthers
United States,Black Panthers
United States,Strikers
Philippines,Unknown
Dominican Republic,Dominican Popular Movement (MPD)
Argentina,Argentine Liberation Front (FAL)
United States,Unknown
United States,White Extremists
United States,Black Nationalists
United States,Black Nationalists
Argentina,Argentine National Organization Movement (MANO)
Lebanon,Popular Front for the Liberation of Palestine (PFLP)
United States,Left-Wing Militants
United States,Left-Wing Militants
Guatemala,Rebel Armed Forces of Guatemala (FAR)
Japan,Japanese Red Army (JRA)
United States,Left-Wing Militants
United States,Student Radicals
Ethiopia,Eritrean Liberation Front
United States,Student Radicals
United States,White Extremists
United States,Student Radicals
Philippines,New People's Army (NPA)
United States,Left-Wing Militants
Ireland,Saor Eire (Irish Republican Group)
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Student Radicals
Brazil,Popular Revolutionary Vanguard (VPR)
Argentina,Argentine Liberation Front (FAL)
United States,Strikers
United States,Strikers
United States,Unknown
United States,Student Radicals
United States,Unknown
United States,Strikers
United States,Chicano Liberation Front
United States,Unknown
United States,Left-Wing Militants
United States,Student Radicals
United States,Unknown
United States,New World Liberation Front (NWLF)
United States,Unknown
United States,Unknown
United States,Unknown
United States,Strikers
United States,Student Radicals
United States,Unknown
Jordan,Popular Front for the Liberation of Palestine (PFLP)
United States,Cuban Exiles
United States,Chicano Liberation Front
United States,Chicano Liberation Front
United States,Unknown
United States,Unknown
United States,Unknown
United States,Strikers
United States,Black Panthers
United States,White Extremists
United States,White Extremists
United States,White Extremists
United States,White Extremists
United States,Black Nationalists
United States,Student Radicals
Philippines,Unknown
United States,Left-Wing Militants
United States,Strikers
United States,Student Radicals
United States,Student Radicals
United States,Student Radicals
United States,Student Radicals
United States,Left-Wing Militants
United States,Armed Commandos of Liberation
United States,Armed Commandos of Liberation
United States,Armed Commandos of Liberation
United States,Armed Commandos of Liberation
United States,Student Radicals
United States,Black Panthers
United States,Left-Wing Militants
United States,The World United Formosans for Independence (WUFI)
Turkey,Palestinians
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Left-Wing Militants
United States,Black Nationalists
United States,Black Nationalists
United States,Left-Wing Militants
United States,Black Nationalists
United States,Student Radicals
United States,Student Radicals
United States,Student Radicals
United States,Left-Wing Militants
United States,Unknown
